ESP 30:ae:a4:3b:a2:d8 -> MAC: da:a1:19:c6:db:32 | SSID: FASTWEB-1-D8270F | RSSI: -89 | Seq.num: 1186 | Timestamp: 1543478078426 | Hash: 370996063
ESP 30:ae:a4:3b:a2:d8 -> MAC: 18:65:90:34:12:ea | SSID: eduroam | RSSI: -74 | Seq.num: 3318 | Timestamp: 1543478078447 | Hash: 842063263
ESP 30:ae:a4:3b:a2:d8 -> MAC: 18:65:90:34:12:ea | SSID: eduroam | RSSI: -75 | Seq.num: 3319 | Timestamp: 1543478078457 | Hash: 862646001
ESP 30:ae:a4:3b:a2:d8 -> MAC: 60:83:34:34:84:e7 | SSID: polito | RSSI: -80 | Seq.num: 3197 | Timestamp: 1543478078634 | Hash: 4272674046
ESP 30:ae:a4:3b:a2:d8 -> MAC: 2c:59:8a:61:f6:be | SSID: eduroam | RSSI: -74 | Seq.num: 649 | Timestamp: 1543478079294 | Hash: 59061074
ESP 30:ae:a4:3b:a2:d8 -> MAC: 2c:59:8a:61:f6:be | SSID: eduroam | RSSI: -74 | Seq.num: 650 | Timestamp: 1543478079328 | Hash: 185927177
ESP 30:ae:a4:3b:a2:d8 -> MAC: a0:c9:a0:f9:55:c0 | SSID: broadcast | RSSI: -83 | Seq.num: 3196 | Timestamp: 1543478079445 | Hash: 1201823401
ESP 30:ae:a4:3b:a2:d8 -> MAC: 74:e5:f9:39:17:b9 | SSID: Galfer-WiFi | RSSI: -85 | Seq.num: 1365 | Timestamp: 1543478079456 | Hash: 2109941040
ESP 30:ae:a4:3b:a2:d8 -> MAC: c0:ee:fb:28:df:18 | SSID: broadcast | RSSI: -93 | Seq.num: 2054 | Timestamp: 1543478079845 | Hash: 3204230539
ESP 30:ae:a4:3b:a2:d8 -> MAC: c0:ee:fb:28:df:18 | SSID: broadcast | RSSI: -88 | Seq.num: 2055 | Timestamp: 1543478079850 | Hash: 1942303167
