timestamp	x_detected	y_detected	inside	x_real	y_real	dimensionality	error_regress	error_interp
1544375703346	-0.4363437	-0.4699809	0	0.5	0	2.047686	1.047674	0.7404949
1544375804181	-1.41619	-0.6246553	0	0.5	0	2.047686	2.015435	1.417753
1544375845191	0.5288297	0.02968626	0	0.5	0	2.047686	0.04138148	0.07655785
1544375851114	0.4933736	0.05076155	0	0.5	0	2.047686	0.05119222	0.1011359
1544375857154	0.6023489	0.1049843	0	0.5	0	2.047686	0.1466185	0.1989526
1544375863173	0.5300042	0.08811999	0	0.5	0	2.047686	0.09308806	0.1451298
1544375868940	0.5655459	0.06741788	0	0.5	0	2.047686	0.09402894	0.1364493
1544375874728	0.5655459	0.06741788	0	0.5	0	2.047686	0.09402894	0.1364493
1544375886296	0.6023489	0.1049843	0	0.5	0	2.047686	0.1466185	0.1989526
1544375892260	0.5300042	0.08811999	0	0.5	0	2.047686	0.09308806	0.1451298
1544375886322	0.5667996	0.1253358	0	0.5	0	2.047686	0.1420255	0.19989
1544375898166	0.5300042	0.08811999	0	0.5	0	2.047686	0.09308806	0.1451298
1544375892286	0.5300042	0.08811999	0	0.5	0	2.047686	0.09308806	0.1451298
1544375903922	0.5655459	0.06741788	0	0.5	0	2.047686	0.09402894	0.1364493
1544375956637	0.6180131	0.3994297	0	0.5	0	2.047686	0.4164987	0.4570659
1544375956662	0.6180131	0.3994297	0	0.5	0	2.047686	0.4164987	0.4570659
1544375974645	0.65481	0.8801977	0	0.5	0	2.047686	0.8937081	0.7577494
1544375980497	0.5345974	0.3087953	0	0.5	0	2.047686	0.3107274	0.4000391
1544375986260	0.6639479	0.8794157	0	0.5	0	2.047686	0.8945674	0.7708024
1544375992013	0.6639479	0.8794157	0	0.5	0	2.047686	0.8945674	0.7708024
1544375992045	0.6125913	0.875017	0	0.5	0	2.047686	0.882231	0.7451745
1544375997759	0.5718439	1.160349	0	0.5	0	2.047686	1.162571	1.019021
1544375997791	0.5211196	1.151596	0	0.5	0	2.047686	1.15179	1.002741
1544376003682	0.6646527	1.027162	0	0.5	0	2.047686	1.040275	0.9129131
1544376003714	0.7165615	0.883005	0	0.5	0	2.047686	0.9091736	0.7993258
1544376009644	0.5718439	1.160349	0	0.5	0	2.047686	1.162571	1.019021
1544376009670	0.5627425	1.015188	0	0.5	0	2.047686	1.017125	0.8669499
